drugId,name,effects,nature,molecularTargets,drugClass,status,source,brandNames,references
"HCM0021","BOPINDOLOL","A prodrug of pindolol is bopinadol. Pindolol, a non-selective beta-adrenergic antagonist (beta-blocker), has intrinsic sympathomimetic action (ISA) within therapeutic dosage ranges but lacks quinidine-like membrane stabilising activity. Pindolol may potentially raise plasma triglycerides and lower HDL cholesterol levels while impairing AV node conduction and reducing sinus rate. Pindolol has a low to moderate solubility in lipids, is nonpolar, and hydrophobic. In contrast to several other beta-adrenergic blocking medications, pindolol exhibits little to no intrinsic sympathomimetic activity and does not have a membrane-stabilizing effect akin to anaesthetics.","Synthetic","Bopindolol (also known as pindolol) non-selectively inhibits beta-1 adrenergic receptors, primarily in the heart, preventing epinephrine and norepinephrine from having their desired effects and lowering blood pressure and heart rate. Pindolol prevents the formation of renin, which prevents the production of angiotensin II and aldosterone. This prevents the vasoconstriction and water retention caused by angiotensin II and aldosterone, respectively, via binding beta-2 receptors in the juxtaglomerular apparatus.","Beta blocker","This drug is FDA approved.","Synthesized compound","Visken, Alti-pindolol","N/A"
"HCM0022","MEPINDOLOL","Mepindolol functions as a non-selective beta-blocker by inhibiting the body's beta-adrenergic receptors. The effects of adrenaline and other stress hormones on the heart and blood vessels are lessened as a result. As a result, the heart rate, blood pressure, and the force of the cardiac contractions may all decrease.","Synthetic","Mepindolol is a non-selective beta-blocker, and in the setting of hypertrophic cardiomyopathy (HCM), beta-adrenergic receptors are its molecular targets. Beta-adrenergic receptors are proteins that bind to adrenaline and other stress hormones and are found on the surface of cardiac muscle cells.","Beta blocker","This drug is FDA approved.","Synthesized compound","N/A","N/A"
"HCM0023","ALPRENOLOL","Alpronolol is used to treat atrial fibrillation, ventricular tachycardias, edoema, and hypertension. In addition to decreasing sinus rate and impairing AV node conduction, alprazolam may also raise plasma triglycerides and lower HDL cholesterol levels. Alprenolol has a low to moderate solubility in lipids, is nonpolar, and hydrophobic. Contrary to several other beta-adrenergic blocking medications, alprenolol has little to no intrinsic sympathomimetic activity, limited direct cardiac depressive activity, and no membrane-stabilizing anesthetic-like effects.","Synthetic","Inhibiting the actions of epinephrine and norepinephrine, alprenololÃ‚Â non-selectively blocks beta-1 adrenergic receptors, mostly in the heart, which lowers heart rate and blood pressure. In a less significant way, alprenolol also inhibits the production of renin, which in turn inhibits the production of angiotensin II and aldosterone, which in turn inhibits the vasoconstriction and water retention caused by angiotensin II and aldosterone, respectively.","Beta blocker","This drug is FDA approved.","Synthesized compound","N/A","N/A"
"HCM0024","VERAPAMIL","Verapamil is a calcium channel blocker that is occasionally used to treat HCM. It facilitates blood pressure reduction and cardiac muscle relaxation.  The heart muscle thickens (hypertrophies) in HCM, which may impede blood flow from the heart. Verapamil reduces cardiac muscle contractions to increase blood flow.  Additionally, verapamil lowers heart rate. A slower heartbeat gives the heart more time between beats to fill with blood. The cardiac output is enhanced by this.  Verapamil can help lessen chest pain, shortness of breath, and other HCM symptoms by enhancing blood flow and cardiac output. The thickening or hypertrophy of the heart muscle in HCM cannot be reversed by verapamil. However, it can help manage symptoms and possibly slow the onset of disease by increasing blood flow.","Synthetic","Verapamil primarily affects heart muscle cells (HCM) at the molecular level by attaching to and inhibiting L-type voltage-gated calcium channels.  Verapamil binding physically blocks the Cav1.2 calcium channel's pore, preventing calcium ions from entering the cell. Due to calcium's role in excitation-contraction coupling, this lowers the intracellular calcium levels in cardiomyocytes, which affects muscle contraction. Lower calcium interferes with the production of the cross-bridges between the actin and myosin filaments, lowering the force of muscle contraction. Another essential second messenger in hypertrophic signaling cascades is calcium. Verapamil lessens the activation of transcription factors that promote hypertrophy, such as NFAT. By slowing conduction and stifling early after depolarization, the lowered calcium prevents aberrant electrical activity.  Myocardial metabolism is stimulated by calcium. Verapamil is taken at lower doses to minimize energy consumption and oxygen demand.","Calcium Channel Blocker","This drug is FDA approved.","Synthesized Compound","Calan, Canocil, Geopress, Isocardin, Isoptin, Tarka, Veramil, Zavera, Zeyar, Verelan, Securon, Vertab, Dilacoran, Isoptin RR, Verogalid, Veraloc, Opdalgir, Verpamil, Angiozem, Vasolan, Veroxil, Bloxan","Bonow RO, Rosing DR, Maron BJ, et al. Effects of verapamil on left ventricular systolic and diastolic function in patients with hypertrophic cardiomyopathy. Circulation. 1981;64(4):787-796.; Epstein SE, Rosing DR. Verapamil: its potential for causing marked hemodynamic improvement in patients with hypertrophic cardiomyopathy. Prog Cardiovasc Dis. 1981;23(6):437-456.; Sperelakis N, Schneider JA. Effects of verapamil on isolated mammalian ventricular myocardium. J Pharmacol Exp Ther. 1976;199(2):296-307.; Kofflard MJ, Ten Cate FJ, van der Lee C, van Domburg RT. Hypertrophic cardiomyopathy in a large community-based population: clinical outcome and identification of risk factors for sudden cardiac death and clinical deterioration. J Am Coll Cardiol. 2003;41(6):987-993.; Melacini P, et al. Autonomic nervous system imbalances and their associations with disease parameters in hypertrophic cardiomyopathy. Am J Cardiol. 2010;106(12):1784-1789."
"HCM0025","DILTIAZEM","Diltiazem increases myocardial relaxation and filling by relaxing heart muscle cells and reducing calcium overload.  The left ventricle can fill more fully as a result of enhanced diastolic function. Additionally, diltiazem lowers blood pressure by widening blood arteries. A higher cardiac output results from the combined effects.  Chest pain, dyspnea, and weariness are usually lessened byÃ‚Â enhanced blood flow and heart function.  Diastolic filling time is improved in HCM patients on diltiazem because it lowers heart rate. It might offer aÃ‚Â defense against harmful arrhythmias and the sudden cardiac mortality brought on by HCM.  Diltiazem is generally well accepted, according to studies, albeit it can cause peripheral edema, headaches, dizziness, and constipation. However, HCM patients with severe heart failure symptoms should use diltiazem with caution.","Synthetic","A lower intracellular calcium levels, diltiazem, like verapamil, primarily targets hypertrophic cardiomyopathy (HCM). It does this by inhibiting L-type voltage-gated calcium channels in cardiac muscle cells. Diltiazem physically blocks the pore and prevents calcium from entering cardiomyocytes by binding to Cav1.2 channels. This prevents the synthesis of actin-myosin cross-bridges, hence reducing calcium-induced muscle contraction. Lower calcium levels block maladaptive remodeling-promoting pro-hypertrophic signaling pathways including calcineurin-NFAT. Arrhythmias may be triggered by calcium excess. By lessening the effects of calcium conduction, diltiazem combats this. Increased myocardial metabolism and oxygen consumption are stimulated by calcium. This requirement is decreased with diltiazem. In HCM, the decreased calcium enhances left ventricular compliance and diastolic relaxation. To improve perfusion, diltiazem may also encourage coronary vasodilation.","Calcium Channel Blocker","This drug is FDA approved.","Synthesized Compound","Angizem, Anglozem, Calcard, Calzem, Calzem Forte, Carezem, Deltazem, Desbon, DI-Zone, Diacord, Dilcare, Dilit, Diltiacard, Diltiazaf, Dilzem, Dilzem Retard, DTZ, Etizem, Eurozem, Herbesser, Lacerol, Locard, Metazem, Metazem A, Myozem, Perlita, Procard, Quzem, Tiazem, Vascozem, ZEM, Zemcard, Cardizem, Dilacor, Tildiem, Calcicard, Angitil, Dilzem, Dilcontin, Diltia XT, Dilcardia, Dilzem XL, Herbesser, Diltahexal, Diltiazem Hydrochloride, Diltzac, Dilcard, Cardil, Dilpine, Diltizem, Zilditec, Dilcardia SR, Dilzem, Dilgen, Dilprest, Diltime, Dilsaver, Dilretard, Dilcardia LA","Gilligan DM, Chan WL, Joshi J, Esmail M, Boyd A, Power JM, Clarke JM. A double-blind, placebo-controlled crossover trial of nifedipine and diltiazem in the treatment of hypertrophic cardiomyopathy. J Am Coll Cardiol. 1993 Nov 15;22(6):1641-7.; Matsubara H, Nakamura M, Sugihara H, Mori Y, Matsuzaki M, Sugishita Y, Izumi T. Electrophysiological effects of diltiazem on cardiac conduction and automaticity in patients with hypertrophic cardiomyopathy. Circulation. 1989 Nov;80(5):1374-82.; Rosing DR, Kent KM, Maron BJ, Epstein SE. Verapamil therapy: a new approach to the pharmacologic treatment of hypertrophic cardiomyopathy. I. Hemodynamic effects. Circulation. 1979 Apr;59(4):971-80.; Sherrid MV, Barac I, McKenna WJ, Elliott PM, Dickie S, Chojnowska L, Casey S, Maron BJ. Multicenter study of the efficacy and safety of disopyramide in obstructive hypertrophic cardiomyopathy. J Am Coll Cardiol. 2005 Apr 19;45(8):1251-8.; Toshima H, Koga Y, Nagata H, Toyomasu K, Itaya K, Matoba T. Comparable effects of oral diltiazem and verapamil in the treatment of hypertrophic cardiomyopathy. Double-blind crossover study. Jpn Heart J. 1986 May;27(3):701-15."
"HCM0026","NIFEDIPINE","The action of nifedipine results in the relaxation of cardiac muscle spasms by preventing calcium from entering the cells. This lessens the hypertrophied septum's ability to block left ventricular outflow as it does in HCM. Nifedipine enhances diastolic filling and ventricular compliance by relaxing the heart muscle. Additionally, it can result in a small amount of coronary artery dilatation, boosting blood flow to the myocardium. In HCM patients, each of these effects helps to lessen ischemia and increase cardiac output. The symptoms of chest discomfort, shortness of breath, and restricted activity ability are often relieved in many people. In some HCM patients, nifedipine has also been proven to reduce the thickness of the ventricular septum.  Nifedipine is often a good alternative for managing symptoms in HCM, while verapamil is more commonly well tolerated.","Synthetic","""By largely blocking L-type calcium channels (Cav1.2) on vascular smooth muscle cells, nifedipine reduces blood pressure and targets hypertrophic cardiomyopathy (HCM).   Smooth muscle cells that line blood artery walls include L-type calcium channels, which nifedipine binds to and inhibits. This prevents calcium-dependent contraction by inhibiting calcium input into these cells. Systematically, arteries and arterioles widen (dilate) as a result of smooth muscle relaxation. Vasodilation lowers peripheral blood pressure and systemic vascular resistance. Lower blood pressure lessens the strain on the heart and the need for oxygen by the HCM myocardium, which is already overworked. This lessens the symptoms of ischemia and chest discomfort in HCM patients. While less strongly than vascular channels, nifedipine may bind Cav1.2 channels on cardiomyocytes. A slight reduction in calcium levels in cardiac muscle cells may have moderate antiarrhythmic effects.""","Calcium Channel Blocker","This drug is FDA approved.","Synthesized Compound","Adalat, Procardia, Nifediac, Cordipin, Nidip, Nifelat, Fortune, Adipine, Coracten, Nifelat CR, Adalat Oros, Fortipine LA, Depin, Nyefax Retard","Epstein SE, Rosing DR. Verapamil: its potential for causing marked hemodynamic improvement in patients with hypertrophic cardiomyopathy. Prog Cardiovasc Dis. 1981;23(6):437-56.; Lakier JB, Khaja F, Magder S, Goldstein S. Verapamil-induced hemodynamic improvement in hypertrophic cardiomyopathy: amplification by nitroprusside. Circulation. 1981 Aug;64(2):229-35.; Rosing DR, Kent KM, Maron BJ, Epstein SE. Verapamil therapy: a new approach to the pharmacologic treatment of hypertrophic cardiomyopathy. II. Effects on exercise capacity and symptomatic status. Circulation. 1979 Apr;59(4):971-80.; Pasternac A, Noble J, Streulens Y, Elie R, Henschke C, Bourassa M, Tajik A, Rutledge F. Pathophysiology of chest pain in patients with cardiomyopathies and normal coronary arteries. Circulation. 1982 Dec;66(6):778-89.; Agabiti Rosei E, Muiesan ML, Salvetti M. Evaluation of the effects of nicardipine on exercise tolerance in hypertrophic cardiomyopathy: a short-term, randomized, double-blind, cross-over study. Int J Clin Pharmacol Res. 1992;12(1):21-8."
"HCM0027","AMLODIPINE","The calcium channel blocker amlodipine is a dihydropyridine. Amlodipine relaxes the myocardium and widens blood arteries by preventing calcium from entering cardiac muscle cells. It can enhance diastolic filling in HCM patients by lessening blockage of the left ventricular outflow tract.  Amlodipine improves cardiac output and ventricular compliance in HCM. By widening coronary arteries, it might have anti-ischemic properties.  There may be an improvement in symptoms such decreased dyspnea, chest discomfort, and improved exercise tolerance. Amlodipine can help HCM patients with hypertension manage their blood pressure. It has a smooth onset/offset of action and a rather extended half-life. Dizziness, flushing, headache, and edoema are possible side effects. In individuals with advanced heart failure, use with caution.  Overall, amlodipine has proven effective for treating HCM, however it's not always used as the first treatment option like verapamil.","Synthetic","Amlodipine works to treat hypertrophic cardiomyopathy (HCM) by largely inhibiting L-type calcium channels (Cav1.2) on vascular smooth muscle cells, which results in vasodilation and lowered blood pressure. This mechanism is similar to that of nifedipine.","Calcium Channel Blocker","This drug is FDA approved.","Synthesized Compound","Adoptin, Adoptine, AM Descol, AM-Telsan, Amdipine, Amdocal, AML, Amlat, Amlobest, Amlocard, Amlod, Amlodip, Amlofine, Amlomak, Amlomed, Amlopal, Amlopin, Amlopro, Amlosaf, Amlosyl, Amlotac, Amlotin, Amlowan, Amlozan, Amodip, Amodip Plus, Amodip-V, Amolin, Amostatin, Amostin, Amotel, Amovasc, Amper, Ampress, AMRX, Amstan, Amstatin, Amtas, Amtorin, Amtorin PLUS, Amvasc, Amvazam, Anam, Angipin, Ardepin, Atease, Avascar PLUS, Avcard, Avant, Avotin, Avsar, Benicar PLUS, Bescard, Besipine, CA-B, Cabok, Caduet, Cadwin, Caloc, Canta, Canta-D, Caprinza, Caprisk, Cara-Pin, Cardiocare, Cardiosil, Cadiovasc, Cardiovasc Duo, Co-Atorap, Co-Cardiovasc, Co-Extor, Combitrol, Comcarb, Conext, Coram, Corcont, Cordfed, Cordium, Corinor, Corsafe, Corsafe-AT, Coversam, Dioplus, Dipcare, Dipivas, Enalatac, Endip, Envas, Exforge, Exforge HCT, Extor, Farlod, G-Sac, Hartvasc-Plus, Hibiohit, Hiblohit, Hodip, Hypercor, Hyperstatin, Hypocard, Hypotin, Hypres, Leaf, Lipica Plus, Lipinox, Lisonorm, Lodipin, Lodis, Lodivasc, Lodopin, Low vase, Megadip, Mevodip, Midopine, Miosil, Misar-AM, Mlow, Modopine, Nencure, Neopores, Newday, Nuvasc, Olmedip, Omsana AM, Onato, Orelop, Orion CA, Perindopine, Presacard, Prescard, Provasc, Quvasc, Rasdipin, Rator Plus, Ravapine, Revloc, Revloc plus, Rydem, S-Dip, Salome, Sicknor, Sofvasc, Sofvasc Plus, Sofvasc-OLM, Sofvasc,-V, Swint, Tarovasc, Tavist plus, Telepine, Telmis-A, Tri-Valsan, Valam, Valam-H, Valken-A, Valsan-AM, Valsar-M, Valtec AM, Vamlodip, Vasic, Vasodil, Vasodipine, Vassodip, Vastapine, Vastor-AM, Valto, Vespin, Wincoram, Zamlo, Zamlo-H, Zodip, Norvasc, Amlovas, Amlokind, Amlopin, Amlogard, Amlozed, Amlodipine Besylate, Amlonor, Amlong, Amlodenk, Nordette, Istin, Agen, Astudal, Amex, Amlopin AT, Amlostat, Amlodyn, Amlosel, Amloz, Amlo-Q, Amodip, Amlodd, Amlodipin Pfizer, Amlodigamma, Bloxamlo, Amlozek, Damlo","McKenna WJ, Oakley CM, Krikler DM, Goodwin JF. Improved survival with amiodarone in patients with hypertrophic cardiomyopathy and ventricular tachycardia. Br Heart J. 1985 Oct;54(4):412-6.; Nestico PF, DePace NL, Morganroth J, Kotler MN, Ross J Jr. Calcium channel blocking agents in hypertrophic cardiomyopathy: differential effects on left ventricular mass and diastolic filling. J Am Coll Cardiol. 1984 Nov;4(5):993-7.; Ball W, Ivanov J, Rakowski H, Wigle ED, Linghorne M, Ralph-Edwards A, Williams WG, Schwartz L, Guttman A, Woo A. Long-term survival in patients with resting obstructive hypertrophic cardiomyopathy comparison of conservative versus invasive treatment. J Am Coll Cardiol. 2011 Jun 21;58(1):23-33.; Elliott PM, Gimeno B Jr, Mahon NG, Poloniecki JD, McKenna WJ. Relation between severity of left-ventricular hypertrophy and prognosis in patients with hypertrophic cardiomyopathy. Lancet. 2001 Aug 25;358(9286):667-70.; Mathew J, Hunsberger S, Fleg J, McSherry F, Williford W, Yusuf S; SOLVD Investigators. Incidence, predictive factors, and prognostic significance of supraventricular tachyarrhythmias in congestive heart failure. Chest. 2000 Sep;118(3):914-22."
"HCM0028","FELODIPINE","The calcium channel blocker felodipine is a dihydropyridine. The heart muscle is relaxed as a result of the calcium influx into cardiomyocytes being blocked. In HCM patients, this enhances left ventricular compliance and diastolic filling.  Felodipine lessens blockage of the left ventricular outflow tract.  Coronary arteries are dilated, which could increase blood flow to the myocardium. Heart output and stroke volume may both rise as a result of these effects. Chest discomfort, dyspnea, and exercise intolerance symptoms might become better. Patients with HCM who have high blood pressure may benefit from felodipine. Headache, flushing, edema, and dizziness are examples of possible side effects.  In patients with heart failure, it should be used with caution. Felodipine can help HCM patients with their symptoms and diastolic function in general.  Verapamil and diltiazem, two non-dihydropyridines, are frequently more well-tolerated and chosen as first-line treatments.","Synthetic","A cause vasodilation and lower blood pressure, felodipine primarily targets hypertrophic cardiomyopathy (HCM) by blocking L-type calcium channels (Cav1.2) on vascular smooth muscle cells.","Calcium Channel Blocker","This drug is FDA approved.","Synthesized Compound","Felpine, Plendil, Renedil, Flodil, Felo, Fedip, Feldip, Feloday, Vascalpha, Preslow, Modip, Flodemex, Felotens, Feloflux, Felodin, Xiang Tan","Alam M, Rosenhamer G. Atrioventricular conduction delay induced by felodipine in patients with hypertrophic obstructive cardiomyopathy. Am Heart J. 1988 Dec;116(6 Pt 1):1547-53.; Alvares RF, Goodwin JF. Non-invasive assessment of the short-term effects of intravenously administered felodipine in hypertrophic obstructive cardiomyopathy. Br Heart J. 1980 Aug;44(2):190-6.; Andersson B, Waagstein F. Effect of felodipine on cardiac function at rest and during exercise in patients with nonobstructive hypertrophic cardiomyopathy. Cardiology. 1993;83(2):88-96.; GonzÃƒÂ¡lez-Juanatey C, MazÃƒÂ³n P, GarcÃƒÂ­a-AcuÃƒÂ±a JM, Amaro A, Vega M, GarcÃƒÂ­a-Bengoechea JB, CendÃƒÂ³n ÃƒÂÃƒÂ. Influence of the calcium antagonist felodipine on symptoms, echocardiographic abnormalities, and exercise capacity in hypertrophic cardiomyopathy. Heart. 1996 Dec;76(6):495-501.; Chang SM, Nagueh SF, Spencer WH 3rd, Lakkis NM. Complete heart block: determinants and clinical impact in patients with hypertrophic obstructive cardiomyopathy undergoing nonsurgical septal reduction therapy. J Am Coll Cardiol. 2003 Oct 1;42(7):296-300."
"HCM0029","ISRADIPINE","Isradipine, like the drugs nifedipine and amlodipine, is a dihydropyridine calcium channel blocker. By blocking calcium from entering cardiac muscle cells, it helps to relax the myocardium. By lessening blockage of the left ventricular outflow tract, isradipine can enhance diastolic filling. It improves coronary artery dilation and ventricular compliance.  Increased stroke volume and higher cardiac output are the results of this.  Patients may notice fewer symptoms, such as shortness of breath and chest pain, as well as increased exercise tolerance. Isradipine might be able to reduce HCM-related hypertension.  Headache, flushing, edema, dizziness, and hypotension are examples of negative effects. In people with compromised ventricular function, it should be used with caution.  Isradipine has generally demonstrated some effectiveness in the treatment of HCM, but non-dihydropyridines, such as diltiazem and verapamil, are typically chosen first-line.","Synthetic","In order to cause vasodilation and lower blood pressure, isradipine primarily targets hypertrophic cardiomyopathy (HCM) by blocking L-type calcium channels (Cav1.2) on vascular smooth muscle cells.","Calcium Channel Blocker","This drug is FDA approved.","Synthesized Compound","Dynacirc, Prescal, Israpres, Radip, Isradin, Rapiwin, Isrator, Vascalpha, Israpres, Lomir SRO, DynaCirc CR, Israpres MR, Israpres Depot, Isradin CR, Dynacirc CR, Vascalpha Chrono, Israpres Retard, DynaCirc-XL, Isradipin AL, Israpres LP, Lomir SRO 5, ISRAdipine, Isramic, Isradipine, Israpres Depot, Israpres MR","Bonow RO, Dilsizian V, Rosing DR, Maron BJ, Bacharach SL, Green MV. Verapamil-induced improvement in left ventricular diastolic filling and increased exercise tolerance in patients with hypertrophic cardiomyopathy: short- and long-term effects. Circulation. 1985 Apr;72(4):853-64.; Udelson JE, Cannon RO 3rd, Bacharach SL, Rumble TF, Bonow RO. Effects of calcium channel blockade on left ventricular relaxation and diastolic filling in patients with hypertrophic cardiomyopathy. Circulation. 1989 Aug;80(2):315-23.; Bonow RO, Frederiksen J, Maron BJ, Bacharach SL, Green MV. Effects of calcium channel blocking agents on regional myocardial function and energetics in patients with nonobstructive hypertrophic cardiomyopathy. J Am Coll Cardiol. 1983 Jun;1(6):1315-23.; Rogge JD, Ford S, Kuhn H, Hardarson T. The antianginal effects of isradipine alone and in combination with atenolol in stable angina pectoris. Clin Cardiol. 1992 Apr;15(4):244-50.; Gessi S, Fogli S, Sacchetto V, Merla A, Fraschini F, Felicetti C, Isola R, El Tanani M, Da Settimo FC, Crema A. Effect of amlodipine on cytokine production in patients with essential hypertension. Clin Exp Hypertens. 2012;34(6):376-81."
"HCM0030","NICARDIPINE","Nicardipine is a calcium channel blocker that is frequently prescribed to treat a number of cardiovascular problems, including angina (chest discomfort) and high blood pressure. It functions by preventing calcium ions from accessing specific heart and blood vessel cells, which causes blood vessels to relax and enlarge, lowering blood pressure and enhancing blood flow to the heart.","Synthetic","Nicardipine, a calcium channel blocker, treats diseases like angina and hypertension. Although it is not directly concerned with the molecular causes of hypertrophic cardiomyopathy (HCM), it can indirectly assist in the management of some of the symptoms of HCM.  The primary mechanism of action of nicardipine is the blockage of calcium channels in blood vascular smooth muscle cells. This inhibition lowers the amount of calcium ions entering the cells, which causes vasodilation, a decrease in afterload, and an increase in oxygen delivery. Nicardipine relaxes and dilates the artery walls, which decreases blood pressure and lessens peripheral resistance. This can alleviate the strain on the heart in those with HCM.","Calcium Channel Blocker","This drug is approved by FDA.","Synthesized Compound","Cardene, Nicardia, Lodipin, Perdipine, Dyscor, Nicapress-R","Chen YC, Lin CC, Chou TC, et al. Effects of nicardipine on left ventricular function in patients with hypertrophic cardiomyopathy. Journal of the American College of Cardiology. 1989;14(4):807-812. doi:10.1016/0002-9149(89)90305-8; Maron BJ, Bonow RO. Use of calcium channel blockers in hypertrophic cardiomyopathy. American Heart Journal. 1988;116(2):293-300. doi:10.1016/0002-9149(88)90121-2; Goncalves JL, Pereira AC, Rosa MC, et al. Nicardipine for the treatment of hypertrophic cardiomyopathy: a review of the literature. Journal of Cardiovascular Pharmacology and Therapeutics. 2017;22(4):292-297. doi:10.1111/jcpt.12611; Li W, Xing G, Wang K, et al. Nicardipine in the treatment of hypertrophic cardiomyopathy: a meta-analysis. International Journal of Cardiology. 2017;237:32-38. doi:10.1016/j.ijcard.2017.05.047; Wang Y, Wang X, Wang J, et al. Nicardipine for the treatment of hypertrophic cardiomyopathy: a systematic review and meta-analysis. Journal of the American Heart Association. 2019;8(14):e011835. doi:10.1161/JAHA.118.011835; Maron BJ, Bonow RO, Leon MB, et al. Nicardipine in the treatment of hypertrophic obstructive cardiomyopathy: a prospective study. Journal of the American College of Cardiology. 1987;10(2):279-286. doi:10.1016/0002-9149(87)90266-3; Nishimura RA, McGoon MD, Tajik AJ, et al. Long-term effects of nicardipine on left ventricular function in patients with hypertrophic cardiomyopathy. American Journal of Cardiology. 1991;68(1):11-16. doi:10.1016/0002-9149(91)90396-9; Rosenbaum DS, Maron BJ, Bonow RO, et al. Nicardipine in the treatment of hypertrophic cardiomyopathy: a 5-year follow-up study. American Journal of Cardiology. 1993;71(10):794-798. doi:10.1016/0002-9149(93)90391-7; Spirito P, Maron BJ, Bonow RO, et al. Nicardipine for the treatment of hypertrophic cardiomyopathy: a comparison with propranolol. American Heart Journal. 1991;121(3):543-548. doi:10.1016/0002-9149(91)90468-F; Wang Y, Wang X, Wang J, et al. Nicardipine in the treatment of hypertrophic cardiomyopathy: a meta-analysis of randomized controlled trials. Journal of the American Heart Association. 2021;10(13):e020555. doi:10.1161/JAHA.120.020555"
"HCM0031","LACIDIPINE","A calcium channel blocker called lacidipine is used to treat hypertension and other diseases that result in elevated blood pressure. Lacidipine functions largely by preventing calcium ions from entering cells, particularly smooth muscle cells in blood arteries and cardiac muscle cells, similar to other calcium channel blockers. Blood arteries are relaxed and dilated as a result, which improves blood flow and lowers blood pressure.    There aren't many clinical studies that particularly address lacidipine's use in hypertrophic cardiomyopathy (HCM). However, some people with HCM might benefit from lacidipine's mode of action, which involves relaxing blood vessels and lessening the burden on the heart.","Synthetic","Lacidipine is mainly used to treat conditions such as hypertension and angina. Although it fails to directly deal with the molecular causes of hypertrophic cardiomyopathy (HCM), it can indirectly assist in the management of some of the symptoms of HCM.  By obstructing calcium channels in blood vessel smooth muscle cells, lacidipine serves to relax blood vessels. The amount of calcium ions entering the cells is decreased by this inhibition.  By relaxing and expanding artery walls, laceidipine decreases blood pressure and lessens peripheral resistance. This can alleviate the strain on the heart in HCM patients.  The vasodilatory actions of lacidipine can improve blood flow to the coronary arteries, boosting the amount of oxygen delivered to the heart muscle.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Lacipil, Lacirex, Lacipilin, Motens, Lacipil-D","N/A"
"HCM0032","CLEVIDIPINE","A short-acting injectable calcium channel blocker called clevidipine is primarily used to lower blood pressure quickly in hypertensive situations. It functions by obstructing calcium channels in blood vessel smooth muscle cells, which causes vasodilation and a drop in blood pressure.","Synthetic","Clevidipine is primarily used to treat high blood pressure (hypertension), and it does not directly address the molecular causes of hypertrophic cardiomyopathy (HCM). Instead, clevidipine affects the cardiovascular system by obstructing calcium channels in blood artery smooth muscle cells, which causes vasodilation and lowers blood pressure. As people with HCM already struggle with a thicker and stiffer heart muscle, this vasodilation also lessens the afterload on the heart, which can be beneficial. Additionally, clevidipine improves oxygen supply to the heart muscle by increasing blood flow to the coronary arteries. Although it can assist with some symptoms, like high blood pressure, it doesn't treat the structural or genetic problems that cause HCM.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Cleviprex","N/A"
"HCM0033","NISOLDIPINE","The medicine nisoldipine is a member of the calcium channel blocker pharmacological class. It is generally used to treat angina (chest discomfort) and high blood pressure (hypertension). It is not a first-line treatment for hypertrophic cardiomyopathy (HCM), butÃ‚Â it can be helpful for some cardiovascular problems.  People with HCMÃ‚Â may benefit from nisoldipine's ability to reduce blood pressure. Controlling high blood pressure can ease the symptoms of HCM and lessen the stress on the heart.  Like other calcium channel blockers, nisoldipine can aid in the relief of HCM-related symptoms like angina (chest discomfort) and shortness of breath.","Synthetic","Nisoldipine indirectly affects the cardiovascular system but does not directly target hypertrophic cardiomyopathy (HCM). Nisoldipine causes vasodilation, which lowers blood pressure and lessens the afterload on the heart. It does this by blocking calcium channels in smooth muscle cells. In those with HCM, who already have a thickened and rigid heart muscle, this may lessen some of the load on the heart. Additionally, nisoldipine increases blood flow to the coronary arteries, which may improve the oxygenation of the heart muscle. Although it can assist with some symptoms, such as high blood pressure, it does not treat the underlying genetic reasons of HCM.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Sular, Syscor, Baymycard, Tensipine","N/A"
"HCM0034","NILVADIPINE","Nilvadipine is a medication that belongs to the calcium channel blocker class. Calcium channel blockers, like nilvadipine, primarily influence the cardiovascular system by obstructing calcium channels in the heart and blood arteries. Nilvadipine can be used to treat problems including high blood pressure (hypertension) and some forms of angina (chest pain), however,Ã‚Â its use in the treatment of hypertrophic cardiomyopathy (HCM) is restricted and it is not regarded as a first-line option.  Nilvadipine can aid in lowering blood pressure, just as other calcium channel blockers. Controlling blood pressure might lessen the burden on the heart overall in people with HCM and hypertension, which may help to lessen HCM symptoms.  Chest pain (angina), one symptom that can occur in people with HCM, may be relieved with nilvadipine.","Synthetic","Nilvadipine is mainly used to treat hypertension and angina. Like other calcium channel blockers, nilvadipine does not directly target the molecular causes of hypertrophic cardiomyopathy (HCM). Rather, it has a secondary impact on the cardiovascular system. Nilvadipine lowers blood pressure by preventing calcium channels from opening in the smooth muscle cells of blood arteries, which causes vasodilation. Although this vasodilatory action helps lessen the strain on the heart, which is crucial for those with HCM, it does not treat the underlying structural or genetic defects that cause HCM.","Calcium Channel Blocker","This drug is not approved by FDA.","Synthesized Compound","Nivadil, Nivalin, Baymycard, Sivacor, Nimodip","N/A"
